通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
311,rcgs_relatedinstance_sparql_2310.csv,format_carrierType,-,メインユニットのキャリア種別,http://rdaregistry.info/termList/RDACarrierType/1049,9,ゲーム関連資料,フォーマット,"""[format_carrierType]△([format_extent],△[format_dimension])""としてマッピングする","冊子 (166 pages, 29.7 cm)",,,,
312,rcgs_relatedinstance_sparql_2310.csv,format_extent,-,メインユニットの数量,166 pages,9,ゲーム関連資料,フォーマット,"""[format_carrierType]△([format_extent],△[format_dimension])""としてマッピングする","冊子 (166 pages, 29.7 cm)",,,,
313,rcgs_relatedinstance_sparql_2310.csv,format_dimension,-,メインユニットの大きさの測定値,29.7 cm,9,ゲーム関連資料,フォーマット,"""[format_carrierType]△([format_extent],△[format_dimension])""としてマッピングする","冊子 (166 pages, 29.7 cm)",,,,
314,rcgs_relatedinstance_sparql_2310.csv,format_encodingFormat,-,メインユニットのエンコード形式,,9,ゲーム関連資料,,,,,,,
315,rcgs_relatedinstance_sparql_2310.csv,format_contentSize,-,メインユニットのコンテンツのファイルサイズ,,9,ゲーム関連資料,,,,,,,
316,rcgs_relatedinstance_sparql_2310.csv,subunit_carrierType,-,サブユニットのキャリア種別,,9,ゲーム関連資料,フォーマット,"""[subunit_carrierType]△([subunit_extent],△[subunit_dimension])""としてマッピングする","""[subunit_carrierType]△([subunit_extent],△[subunit_dimension])""としてマッピングする",,,,
317,rcgs_relatedinstance_sparql_2310.csv,subunit_extent,-,サブユニットの数量,,9,ゲーム関連資料,フォーマット,"""[subunit_carrierType]△([subunit_extent],△[subunit_dimension])""としてマッピングする",,,,,
318,rcgs_relatedinstance_sparql_2310.csv,subunit_dimension,-,サブユニットの大きさの測定値,,9,ゲーム関連資料,フォーマット,"""[subunit_carrierType]△([subunit_extent],△[subunit_dimension])""としてマッピングする",,,,,
319,rcgs_relatedinstance_sparql_2310.csv,subunit_encodingFormat,-,サブユニットのエンコード形式,,9,ゲーム関連資料,,,,,,,
320,rcgs_relatedinstance_sparql_2310.csv,subunit_contentSize,-,サブユニットのコンテンツのファイルサイズ,,9,ゲーム関連資料,,,,,,,
321,rcgs_relatedinstance_sparql_2310.csv,dimension,-,リソースの大きさの測定値,,9,ゲーム関連資料,大きさ,,,,,,
322,rcgs_relatedinstance_sparql_2310.csv,medium,-,リソースを物理的に構成する素材,http://rdaregistry.info/termList/RDAMaterial/1025,9,ゲーム関連資料,素材,,,,,,
323,rcgs_relatedinstance_sparql_2310.csv,identifier,-,同じもしくは関連するリソースの識別子を示す外部のウェブサイト,,9,ゲーム関連資料,外部ID,,,,,,
324,rcgs_relatedinstance_sparql_2310.csv,gtin13,-,リソースの主にバーコードで提供されるGTINによる識別子,,9,ゲーム関連資料,商品識別コード,,,,,,
325,rcgs_relatedinstance_sparql_2310.csv,isbn,-,リソースのISBNによる識別子,,9,ゲーム関連資料,ISBN,,,,,,
326,rcgs_relatedinstance_sparql_2310.csv,issn,-,リソースのISSNによる識別子,,9,ゲーム関連資料,ISSN,,,,,,
327,rcgs_relatedinstance_sparql_2310.csv,modelNumber,-,リソースの供給者が定義する型番による識別子,,9,ゲーム関連資料,型番,,,,,,
328,rcgs_relatedinstance_sparql_2310.csv,jpNumber,-,リソースの全国書誌番号による識別子,,9,ゲーム関連資料,外部ID,"値があるときは冒頭に""全国書誌番号:△""を追加する",,,,,
329,rcgs_relatedinstance_sparql_2310.csv,ndlBiBID,-,リソースの国会図書館書誌IDによる識別子,,9,ゲーム関連資料,国会図書館書誌ID,,,,,,
330,rcgs_relatedinstance_sparql_2310.csv,oclcNumber,-,リソースのOCLCナンバーによる識別子,,9,ゲーム関連資料,OCLCナンバー,,,,,,
331,rcgs_relatedinstance_sparql_2310.csv,seeAlso,-,同じもしくは関連するリソースを示す外部のウェブサイト,,9,ゲーム関連資料,外部の関連リソース,,,,,,
332,rcgs_relatedinstance_sparql_2310.csv,copyrightYear,-,リソースの著作権など保護の主張に関連する日付,©2018,9,ゲーム関連資料,著作権年,,,,,,
333,rcgs_relatedinstance_sparql_2310.csv,accessRights,-,リソースのアクセス制限,一般,9,ゲーム関連資料,アクセス制限,,,,,,
334,rcgs_relatedinstance_sparql_2310.csv,hasPart,-,リソースの論理的・物理的に部分として持つリソース,,9,ゲーム関連資料,関連（hasPart）,,,,,,
335,rcgs_relatedinstance_sparql_2310.csv,isPartOf,-,リソースの論理的・物理的な部分であるリソース,,9,ゲーム関連資料,関連（isPartOf）,,,,,,
336,rcgs_relatedinstance_sparql_2310.csv,abstract,-,リソースの内容の概要,,9,ゲーム関連資料,概要,"値があるときは冒頭に""要約:△""を追加する",,,,,
337,rcgs_relatedinstance_sparql_2310.csv,description,-,リソースの説明や注記とその他の属性で記録されない識別的特徴,,9,ゲーム関連資料,概要,,,,,,
