メモ	例示されたパッケージ	所蔵DBリンク	管理者	保管場所	サブタイプ	タイプ	ジャンル	資料ID
ITEM0003172	PACKAGE0004143	https://collection.rcgs.jp/page/PACKAGE0004143	AGENT0000848	C42	gm	GameItem	ゲーム個別資料	RCGSa0003177
ITEM0001619	PACKAGE0004655	https://collection.rcgs.jp/page/PACKAGE0004655	AGENT0000848	C70	gm	GameItem	ゲーム個別資料	RCGSa0001620
ITEM0009065	PACKAGE0009313	https://collection.rcgs.jp/page/PACKAGE0009313	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013658
ITEM0011345	PACKAGE0003877	https://collection.rcgs.jp/page/PACKAGE0003877	AGENT0000848	C160	gm	GameItem	ゲーム個別資料	RCGSa0020889
ITEM0009075	PACKAGE0009323	https://collection.rcgs.jp/page/PACKAGE0009323	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013712
ITEM0009077	PACKAGE0009325	https://collection.rcgs.jp/page/PACKAGE0009325	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013708
ITEM0005894	PACKAGE0004115	https://collection.rcgs.jp/page/PACKAGE0004115	AGENT0000848	C119	gm	GameItem	ゲーム個別資料	RCGSa0009893
ITEM0004530	PACKAGE0006405	https://collection.rcgs.jp/page/PACKAGE0006405	AGENT0000848	A40	gm	GameItem	ゲーム個別資料	RCGSa0006961
ITEM0004368	PACKAGE0006110	https://collection.rcgs.jp/page/PACKAGE0006110	AGENT0000848	D16	gm	GameItem	ゲーム個別資料	RCGSa0004845
ITEM0004560	PACKAGE0006160	https://collection.rcgs.jp/page/PACKAGE0006160	AGENT0000848	D20	gm	GameItem	ゲーム個別資料	RCGSa0007022
ITEM0005119	PACKAGE0000980	https://collection.rcgs.jp/page/PACKAGE0000980	AGENT0000848	C38	gm	GameItem	ゲーム個別資料	RCGSa0009095
ITEM0005755	PACKAGE0006919	https://collection.rcgs.jp/page/PACKAGE0006919	AGENT0000848	A86	gm	GameItem	ゲーム個別資料	RCGSa0020254
ITEM0001964	PACKAGE0000009	https://collection.rcgs.jp/page/PACKAGE0000009	AGENT0000848	A27	gm	GameItem	ゲーム個別資料	RCGSa0001965
ITEM0008671	PACKAGE0008907	https://collection.rcgs.jp/page/PACKAGE0008907	AGENT0000848	A112	gm	GameItem	ゲーム個別資料	RCGSa0014746
ITEM0008673	PACKAGE0008909	https://collection.rcgs.jp/page/PACKAGE0008909	AGENT0000848	A112	gm	GameItem	ゲーム個別資料	RCGSa0014744
ITEM0003547	PACKAGE0002220	https://collection.rcgs.jp/page/PACKAGE0002220	AGENT0000848	C54	gm	GameItem	ゲーム個別資料	RCGSa0003553
ITEM0007139	PACKAGE0005487	https://collection.rcgs.jp/page/PACKAGE0005487	AGENT0000848	D42	gm	GameItem	ゲーム個別資料	RCGSa0011307
ITEM0006658	PACKAGE0007799	https://collection.rcgs.jp/page/PACKAGE0007799	AGENT0000848	A98	gm	GameItem	ゲーム個別資料	RCGSa0010815
ITEM0009668	PACKAGE0009891	https://collection.rcgs.jp/page/PACKAGE0009891	AGENT0000848	D85	gm	GameItem	ゲーム個別資料	RCGSa0014349
ITEM0010090	PACKAGE0002085	https://collection.rcgs.jp/page/PACKAGE0002085	AGENT0000848	C141	gm	GameItem	ゲーム個別資料	RCGSa0015025
ITEM0003188	PACKAGE0004284	https://collection.rcgs.jp/page/PACKAGE0004284	AGENT0000848	C42	gm	GameItem	ゲーム個別資料	RCGSa0003193
ITEM0003900	PACKAGE0005468	https://collection.rcgs.jp/page/PACKAGE0005468	AGENT0000848	D7	gm	GameItem	ゲーム個別資料	RCGSa0003906
ITEM0009197	PACKAGE0009443	https://collection.rcgs.jp/page/PACKAGE0009443	AGENT0000848	A119	gm	GameItem	ゲーム個別資料	RCGSa0013743
ITEM0009199	PACKAGE0009445	https://collection.rcgs.jp/page/PACKAGE0009445	AGENT0000848	A119	gm	GameItem	ゲーム個別資料	RCGSa0013736
